: 1_Inflectional_morphology - I01 [noun - plural_reg]
album albums
refer referred
relate related
remain remained
replace replaced
require required
seem seemed
send sent
spend spent
tell told
understand understood
unite united
: 1_Inflectional_morphology - I08 [verb_Ving - 3pSg]
adding adds
advertising advertises
allowing allows
appearing appears
applying applies
asking asks
becoming becomes
believing believes
considering considers
consisting consists
containing contains
continuing continues
creating creates
depending depends
describing describes
developing develops
discovering discovers
enabling enables
existing exists
explaining explains
following follows
happening happens
hearing hears
improving improves
including includes
involving involves
learning learns
losing loses
managing manages
occurring occurs
operating operates
performing performs
promoting promotes
providing provides
publishing publishes
receiving receives
reducing reduces
referring refers
relating relates
remaining remains
representing represents
requiring requires
seeming seems
sitting sits
spending spends
suggesting suggests
teaching teaches
telling tells
thanking thanks
understanding understands
: 1_Inflectional_morphology - I09 [verb_Ving - Ved]
adding added
agreeing agreed
allowing allowed
announcing announced
appearing appeared
applying applied
appointing appointed
asking asked
attending attended
becoming became
considering considered
containing contained
continuing continued
creating created
deciding decided
describing described
developing developed
establishing established
existing existed
expecting expected
failing failed
following followed
hearing heard
improving improved
including included
introducing introduced
involving involved
locating located
losing lost
managing managed
marrying married
operating operated
performing performed
proposing proposed
providing provided
publishing published
receiving received
reducing reduced
relating related
remaining remained
replacing replaced
representing represented
requiring required
sending sent
spending spent
suffering suffered
teaching taught
telling told
understanding understood
uniting united
: 1_Inflectional_morphology - I10 [verb_3pSg - Ved]
adds added
agrees agreed
allows allowed
announces announced
appears appeared
applies applied
appoints appointed
asks asked
becomes became
believes believed
considers considered
consists consisted
contains contained
continues continued
creates created
decides decided
describes described
develops developed
establishes established
expects expected
fails failed
follows followed
happens happened
hears heard
includes included
intends intended
introduces introduced
involves involved
locates located
loses lost
manages managed
marries married
occurs occurred
operates operated
performs performed
proposes proposed
provides provided
publishes published
receives received
refers referred
relates related
remains remained
replaces replaced
represents represented
requires required
seems seemed
sends sent
spends spent
suggests suggested
tells told
: 2_Derivational_morphology - D01 [noun+less_reg]
arm armless
art artless
bone boneless
breath breathless
carbon carbonless
child childless
collar collarless
death deathless
defence defenceless/defenseless
effort effortless
ego egoless
emotion emotionless
error errorless
expression expressionless
faith faithless
friction frictionless
friend friendless
gender genderless
goal goalless
god godless
guile guileless
guilt guiltless
hair hairless
heart heartless
heir heirless
home homeless
law lawless
leg legless
life lifeless/liveless
luck luckless
meat meatless
mirth mirthless
money moneyless
odor odorless/odourless
passion passionless
path pathless
penny penniless
remorse remorseless
ruth ruthless
sensor sensorless
sleeve sleeveless
soul soulless
speech speechless
spine spineless
tact tactless
talent talentless
thought thoughtless
tooth toothless
window windowless
wit witless
: 2_Derivational_morphology - D02 [un+adj_reg]
able unable
acceptable unacceptable
affected unaffected
authorized unauthorized/unauthorised
available unavailable
avoidable unavoidable
aware unaware
believable unbelievable
biased unbiased
certain uncertain
changed unchanged
comfortable uncomfortable
conditional unconditional
conscious unconscious
controlled uncontrolled
desirable undesirable
employed unemployed
expected unexpected
finished unfinished
forgettable unforgettable
fortunate unfortunate
happy unhappy
healthy unhealthy
identified unidentified
intended unintended
interrupted uninterrupted
known unknown
lawful unlawful
lucky unlucky
noticed unnoticed
paid unpaid
pleasant unpleasant
popular unpopular
predictable unpredictable
published unpublished
realistic unrealistic
reasonable unreasonable
related unrelated
reliable unreliable
resolved unresolved
restricted unrestricted
satisfactory unsatisfactory
specified unspecified
successful unsuccessful
suitable unsuitable
sustainable unsustainable
used unused
usual unusual
veiled unveiled
wanted unwanted
: 2_Derivational_morphology - D03 [adj+ly_reg]
according accordingly
actual actually
additional additionally
apparent apparently
beautiful beautifully
clinical clinically
creative creatively
critical critically
cultural culturally
decided decidedly
different differently
digital digitally
effective effectively
environmental environmentally
extensive extensively
famous famously
federal federally
financial financially
global globally
historical historically
huge hugely
immediate immediately
important importantly
increasing increasingly
interesting interestingly
internal internally
international internationally
legal legally
mental mentally
nice nicely
obvious obviously
physical physically
political politically
popular popularly
practical practically
previous previously
rare rarely
regional regionally
serious seriously
sexual sexually
significant significantly
similar similarly
strong strongly
subsequent subsequently
successful successfully
traditional traditionally
typical typically
unique uniquely
virtual virtually
visual visually
: 2_Derivational_morphology - D04 [over+adj_reg]
ambitious overambitious/over-ambitious
arching overarching/over-arching
booked overbooked/over-booked
charged overcharged/over-charged
compensated overcompensated/over-compensated
confident overconfident/over-confident
cooked overcooked/over-cooked
crowded overcrowded/over-crowded
developed overdeveloped/over-developed
done overdone/over-done
dressed overdressed/over-dressed
enthusiastic overenthusiastic/over-enthusiastic
excited overexcited/over-excited
exposed overexposed/over-exposed
filled overfilled/over-filled
grown overgrown/over-grown
heard overheard/over-heard
heated overheated/over-heated
inflated overinflated/over-inflated
laid overlaid/over-laid
loaded overloaded/over-loaded
optimistic overoptimistic/over-optimistic
paid overpaid/over-paid
painted overpainted/over-painted
played overplayed/over-played
populated overpopulated/over-populated
powered overpowered/over-powered
protected overprotected/over-protected
protective overprotective/over-protective
qualified overqualified/over-qualified
represented overrepresented/over-represented
saturated oversaturated/over-saturated
shadowed overshadowed/over-shadowed
simplified oversimplified/over-simplified
sized oversized/over-sized
sold oversold/over-sold
spent overspent/over-spent
stated overstated/over-stated
stimulated overstimulated/over-stimulated
stocked overstocked/over-stocked
strained overstrained/over-strained
stressed overstressed/over-stressed
stretched overstretched/over-stretched
subscribed oversubscribed/over-subscribed
taken overtaken/over-taken
thrown overthrown/over-thrown
turned overturned/over-turned
used overused/over-used
written overwritten/over-written
zealous overzealous/over-zealous
: 2_Derivational_morphology - D05 [adj+ness_reg]
amazing amazingness
attractive attractiveness
aware awareness
broken brokenness
careful carefulness
cheap cheapness
competitive competitiveness
connected connectedness
conscious consciousness
creative creativeness
dangerous dangerousness
devoted devotedness
directed directedness
distinct distinctness
distinctive distinctiveness
effective effectiveness
extensive extensiveness
fixed fixedness
foreign foreignness
happy happiness
helpful helpfulness
hidden hiddenness
hot hotness
huge hugeness
impressive impressiveness
innovative innovativeness
interesting interestingness
mad madness
marked markedness
massive massiveness
nice niceness
obvious obviousness
odd oddness
prepared preparedness
pure pureness
random randomness
rare rareness
reasonable reasonableness
related relatedness
righteous righteousness
sacred sacredness
sad sadness
same sameness
serious seriousness
situated situatedness
strange strangeness
unique uniqueness
useful usefulness
vast vastness
weak weakness
: 2_Derivational_morphology - D06 [re+verb_reg]
acquire reacquire
adjust readjust
appear reappear
apply reapply
appoint reappoint
arrange rearrange
assess reassess
assign reassign
assure reassure
calculate recalculate
cognize recognize
commend recommend
configure reconfigure
confirm reconfirm
connect reconnect
consider reconsider
create recreate
decorate redecorate
deem redeem
define redefine
develop redevelop
discover rediscover
distribute redistribute
emerge reemerge
engage reengage
establish reestablish
evaluate reevaluate
examine reexamine
generate regenerate
grow regrow
install reinstall
integrate reintegrate
interpret reinterpret
introduce reintroduce
invest reinvest
investigate reinvestigate
learn relearn
locate relocate
marry remarry
negotiate renegotiate
occur reoccur
organize reorganize/reorganise
publish republish
send resend
solve resolve
submit resubmit
tell retell
unite reunite
upload reupload
write rewrite
: 2_Derivational_morphology - D07 [verb+able_reg]
accept acceptable
achieve achieveable
adapt adaptable
adjust adjustable
admire admirable
adore adorable
advise advisable
afford affordable
avoid avoidable
believe believeable/believable
consider considerable
contain containable
define definable
deliver deliverable
discover discoverable
dispose disposable
download downloadable
edit editable
enjoy enjoyable
execute executable
expand expandable
expect expectable
explain explainable
extend extendable
foresee foreseeable
identify identifiable
imagine imaginable
improve improvable
inflate inflatable
learn learnable
maintain maintainable
manage manageable
observe observable
perform performable
predict predictable
prefer preferable
prevent preventable
protect protectable
publish publishable
recognize recognizable/recognisable
recommend recommendable
rely reliable
renew renewable
replace replaceable
represent representable
survive survivable
sustain sustainable
understand understandable
vary variable
write writeable/writable
: 2_Derivational_morphology - D08 [verb+er_irreg]
achieve achiever
advertise advertiser
announce announcer
bake baker
begin beginner
believe believer
borrow borrower
choreograph choreographer
compose composer
consume consumer
contend contender
defend defender
deliver deliverer
destroy destroyer
determine determiner
develop developer
discover discoverer
eat eater
entertain entertainer
examine examiner
explore explorer
follow follower
interpret interpreter
intrude intruder
learn learner
listen listener
lose loser
manage manager
molest molester
mourn mourner
observe observer
offend offender
organise organiser
organize organizer
perform performer
preach preacher
promote promoter
provide provider
publish publisher
receive receiver
recommend recommender
send sender
skydive skydiver
slay slayer
speak speaker
subscribe subscriber
suffer sufferer
teach teacher
tell teller
write writer
: 2_Derivational_morphology - D09 [verb+tion_irreg]
accuse accusation
admire admiration
allege allegation
aspire aspiration
authorize authorization/authorisation
characterize characterization/characterisation
civilize civilization/civilisation
colonize colonization
compile compilation
compute computation
condense condensation
configure configuration
consult consulation
continue continuation
customize customization
declare declaration
degrade degradation
deprive deprivation
derive derivation
determine determination
examine examination
expire expiration
explore exploration
globalize globalization/globalisation
illumine illumination
imagine imagination
improvize improvization/improvisation
inspire inspiration
install installation/instalation
maximize maximization/maximisation
minimize minimization/minimisation
modernize modernization/modernisation
oblige obligation
observe observation
occupy occupation
optimize optimization/optimisation
organize organization
perspire perspiration
prepare preparation
privatize privatization/privatisation
randomize randomization/randomisation
realize realization/realisation
reorganize reorganization/reorganisation
restore restoration
specialize specialization/specialisation
stabilize stabilization
standardize standardization/standardisation
starve starvation
utilize utilization/utilisation
visualize visualization
: 2_Derivational_morphology - D10 [verb+ment_irreg]
accomplish accomplishment
achieve achievement
acknowledge acknowledgement
adjust adjustment
advertise advertisement/advertizement
agree agreement
align alignment
amend amendment
amuse amusement
announce announcement
appoint appointment
arrange arrangement
assess assessment
assign assignment
commit commitment
detach detachment
develop development
disagree disagreement
disappoint disappointment
displace displacement
embarrass embarrassment
encourage encouragement
endorse endorsement
enforce enforcement
engage engagement
enhance enhancement
enjoy enjoyment
enlighten enlightenment
enroll enrollment/enrolment
entertain entertainment
entitle entitlement
equip equipment
establish establishment
excite excitement
fulfil fulfilment
fulfill fulfillment
harass harassment
impair impairment
improve improvement
infringe infringement
invest investment
involve involvement
manage management
punish punishment
redevelop redevelopment
reimburse reimbursement
reinforce reinforcement
replace replacement
require requirement
resent resentment
: 3_Encyclopedic_semantics - E01 [country - capital]
abuja nigeria
amman jordan
ankara turkey
athens greece
baghdad iraq
bangkok thailand
beijing china
beirut lebanon
belgrade serbia
berlin germany
bern switzerland
brussels belgium
bucharest romania
budapest hungary
cairo egypt
canberra australia
conakry guinea
copenhagen denmark
damascus syria
dhaka bangladesh
dublin ireland
hanoi vietnam
havana cuba
helsinki finland
islamabad pakistan
jakarta indonesia
kabul afghanistan
kiev ukraine
kingston jamaica
lima peru
lisbon portugal
london england/uk/britain
madrid spain
manila philippines
moscow russia
nairobi kenya
oslo norway
ottawa canada
paris france
rome italy
santiago chile
sofia bulgaria
stockholm sweden
taipei taiwan
tbilisi georgia
tehran iran
tokyo japan
vienna austria
warsaw poland
zagreb croatia
: 3_Encyclopedic_semantics - E02 [country - language]
andorra catalan
argentina spanish
australia english
austria german
bahamas english
bangladesh bengali/bangla
barbados english
belize english
bolivia spanish
brazil portuguese
cambodia khmer
canada english/french
chile spanish
colombia spanish
cuba spanish
cyprus greek/turkish
denmark danish/faroese/greenlandic/german
ecuador spanish/quechua
egypt arabic
ethiopia amharic
fiji english
guadeloupe french
guam english/chamorro
guatemala spanish
guyana english
haiti creole/french
iran persian
iraq arabic/kurdish
ireland english/irish/gaelic
israel hebrew/arabic
jamaica english/creole
jordan arabic
kazakhstan kazak/qazaq/russian
kosovo albanian/serbian
kuwait arabic
mexico spanish/nahuatl
moldova moldovan/romanian
morocco berber/arabic
mozambique portuguese
netherlands dutch/frisian
nicaragua spanish
norway norwegian/bokmål/bokmal/nynorsk
palestine arabic
peru spanish
philippines tagalog/filipino
switzerland german/french/italian
syria arabic
taiwan chinese
usa english
venezuela spanish
: 3_Encyclopedic_semantics - E03 [UK_city - county]
aberdeen aberdeenshire
bath somerset
belfast antrim
birmingham midlands
bradford yorkshire
brighton sussex
cambridge cambridgeshire
canterbury kent
cardiff glamorgan
carlisle cumbria
chester cheshire
chichester sussex
coventry midlands
crawley sussex
derby derbyshire
dundee lowlands
edinburgh lowlands
ely cambridgeshire
exeter devon
glasgow lowlands
gloucester gloucestershire
hereford herefordshire
hull yorkshire
inverness highlands
lancaster lancashire
leeds yorkshire
leicester midlands
lincoln lincolnshire
liverpool lancashire
newcastle northumberland
newport gwent
norwich norfolk
nottingham nottinghamshire
oxford oxfordshire
plymouth devon
portsmouth hampshire
preston lancashire
reading berkshire
salford manchester
salisbury wiltshire
sheffield yorkshire
southampton hampshire
stirling stirlingshire
swansea glamorgan
wakefield yorkshire
wells somerset
winchester hampshire
wolverhampton midlands
worcester worcestershire
york yorkshire
: 3_Encyclopedic_semantics - E04 [name - nationality]
aristotle greek
balzac french
beethoven german
caesar roman
confucius chinese
copernicus polish
darwin english/british
depp american
descartes french
dickens english/british
dostoyevsky russian
edison american
einstein jewish/german/american
euclid greek
fermi italian
galilei italian
gorbachev soviet/russian
hawking english/british
hegel german
hitler german/austrian
homer greek
hume scottish/british
jolie american
kant german
kepler german
lavoisier french
leibniz german
lenin soviet/russian
lennon english/british
lincoln american
locke english/british
machiavelli italian
marx german
maxwell scottish/british
mencius chinese
michelangelo italian
mozart german/austrian
napoleon french/corsican/italian
newton english/british
pascal french
plato greek
raphael italian
rousseau french
spinoza dutch
stalin soviet/georgian
strauss austrian
tchaikovsky russian
tolstoi russian
truman american
wagner german
: 3_Encyclopedic_semantics - E05 [name - occupation]
andersen writer/poet/author
aristotle philosopher
balzac novelist/writer
beethoven composer
caesar emperor/commander/leader
columbus explorer
confucius philosopher
dante poet
darwin naturalist/biologist/geologist
depp actor/producer/musician
descartes mathematician/philosopher
dickens novelist/writer/critic/author
edison inventor/businessman
einstein physicist/scientist
euler mathematician/physicist/astronomer/logician/engineer
goethe poet/playwright/novelist/writer/author
hawking physicist/scientist
haydn composer
hegel philosopher
hitler dictator/politician/nazi
hume philosopher/politician
jolie actress/filmmaker/director/humanitarian/activist
kant philosopher
kepler mathematician/physicist/astronomer/astrologer
lincoln president
locke philosopher
marx philosopher/communist
maxwell physicist/scientist
mencius philosopher
michelangelo sculptor/painter/architect/artist/poet/engineer
moses prophet/leader
mozart composer
napoleon emperor/leader/politician/commander
newton scientist/mathematician/psysicist/philosopher
pacino actor/director/filmmaker
pascal mathematician/philosopher
picasso painter/artist/sculptor/designer
plato philosopher
raphael painter/artist/architect
rembrandt painter/etcher/artist
rousseau writer/author/philosopher
schwarzenegger actor/politician/governor
shakespeare playwright/poet
spinoza philosopher
stalin dictator/politician/leader/statesman
strauss composer
tolstoi novelist/writer/philosopher
truman president
wagner composer
wittgenstein philosopher
: 3_Encyclopedic_semantics - E06 [animal - young]
ape baby/infant
badger kit/cob
bear cub
beaver kit/kitten
bee larva
beetle larva
buffalo calf
butterfly larva/pupa/caterpillar/chrysalis
camel calf/colt
cat kitten
cattle calf/heifer
chimpanzee baby/infant
cicada nymph
cockroach nymph
cricket larva
deer fawn
dog puppy/pup/whelp
duck duckling
elephant calf
ferret kit
fish fingerling/spawn/egg/larva/fry/minnmow
fly grub/maggot
fox cub/pup/puppy/whelp
goat kid
goldfish fingerling/fry
gorilla infant
herring fingerling/fry
horse foal/colt/filly
insect larva
lion cub
mink kit/cub
monkey infant
muskrat kit
ox calf/stot
panda cub
pig piglet/shoat/farrow
rabbit bunny
raccoon kit/cub
salmon smolt
seal pup
shark cub/pup
sheep lamb/lambkin/cosset
skunk kit/kitten
snake hatchling/nestling
tiger cub
trout fingerling
weasel kit
whale calf
wolf cub/pup/puppy/whelp
woodchuck kit/cob
: 3_Encyclopedic_semantics - E07 [animal - sound]
alpaca bray
bear growl
bee buzz/hum
beetle drone
cat meow/meu/purr/caterwaul
cattle moo/bellow/low
chicken cluck/crow/cock-a-doodle-doo
chimpanzee scream
cicada buzz
coyote howl
cricket chirp
crow caw
deer bellow
dog bark/growl/howl/yelp/whine/arf/bow_wow/woof
donkey bray/hee-haw
duck quack
elephant trumpet
elk bellow
ferret dook
fly buzz
fox howl/yelp
frog ribbit/croak
goat bleat
gorilla grunt/scream
hornet buzz
horse neigh/snort/whinny
hound bark/howl/bay
hyena laugh
leopard growl
lion roar/growl
magpie chatter
mallard quack
monkey chatter/gibber/howl/scream
moose bellow
mouse squeak
mule bray/hee-haw
pig oink/grunt/gruff/squeal
pigeon coo
rat squeak
raven caw
seal bark
sheep baa/bleat
snake hiss
songbird chirrup/chirp/tweet/sing/warble/twitter
tiger growl/roar
toad ribbit/croak
turkey gobble
wasp buzz
whale sing
wolf howl
: 3_Encyclopedic_semantics - E08 [animal - shelter]
ant anthill/insectarium/terrarium/formicarium
ape grove/tree/cage
baboon grove/tree/cage
bat cave/cage
bear den/cage
beaver dam/river/pen
bee hive
cattle barn/coral
chimpanzee grove/tree/cage
chinchilla nest/cage
cockroach nest
cricket nest
crocodile river/lake/pool
crow nest/cage
dog doghouse/home/den/kennel
dolphin sea/sanctuary
duck pond/nest
fish sea/lake/river/acquarium/farm/sanctuary
fly nest
fox den/cage
goldfish pond/bowl/aquarium/sanctuary
gorilla grove/tree/cage
hamster nest/cage
hedgehog nest/hedge/pen
herring sea/sanctuary
hippopotamus river/lake/pen
hornet nest
horse stable/range/paddock/corral
insect nest/cage/box
lion den/cage/savannah
locust nest
mallard nest/pond
mole hole/nest
monkey tree/grove/cage
mouse nest/cage
pig sty/pigsty/pen/pigpen
rabbit burrow/warren/hutch/cage
rat nest/cage
raven nest/cage
scorpion nest/aquarium/terrarium
seal den/aquarium/sea
snake nest/pit/acquarium
spider web/acquarium/terrarium
termite hill/terrarium
tiger den/cage
trout river/lake/sanctuary/aquarium/pond/tank
wasp nest
whale sea/sanctuary
wolf den/cage
woodchuck hole
: 3_Encyclopedic_semantics - E09 [things - color]
ant black/brown/red
apple red/orange/yellow/golden
blackboard black/green
blood red
blueberry blue/black
broccoli green
bruise blue/purple
cabbage green
carrot orange/red/yellow
cauliflower white/green/yellow/yellowish
celery green/white/brown
cherry red/yellow/black
chocolate white/brown/black
cloud white/gray/grey
coal black
coffee black/brown
cranberry red/purple/pink
cream white
crow black
cucumber green
emerald green
fridge white/silver/black
frog green/brown/grey/gray
grapes black/red/green/purple
grass green
leaves green/red/yellow
milk white
paper white/color
parsley green
peony red/white/pink/purple
pepper black/red/green/yellow/orange
potato brown
radish red/pink/white/green/black
raven black
rose red/yellow/pink/white/blue
ruby red
salt white
sapphire blue
sea blue/green/gray/grey
sky blue/gray/grey
snow white
soil black/brown/dark
spinach green
sugar white/brown
sun yellow/gold
swan white/black/gray/grey
tea black/green/white/red/brown/yellow
tomato red
toothpaste white
yoghurt white/pink
: 3_Encyclopedic_semantics - E10 [male - female]
actor actress
batman batwoman
boar sow
boy girl
brother sister
buck doe
bull cow
businessman businesswoman
chairman chairwoman
dad mom/mum
daddy mommy/mother/mom
duke duchess
emperor empress
father mother
fisherman fisherwoman
fox vixen
gentleman lady/gentlewoman/madam
god goddess
grandfather grandmother
grandpa grandma
grandson granddaughter
groom bride
headmaster headmistress
heir heiress
hero heroine
hound bitch
husband wife
king queen
lion lioness
man woman
manager manageress
mister miss/missis/missus/mis'ess/mrs/ms/madam
murderer murderess
nephew niece
poet poetess
policeman policewoman
prince princess
ram ewe
rooster hen
sculptor sculptress
sir madam
son daughter
stallion mare
stepfather stepmother
superman superwoman
tiger tigress
uncle aunt
valet maid/maidservant/housemaid/chambermaid/handmaid/handmaiden/parlormaid/parlourmaid
waiter waitress
webmaster webmistress
: 4_Lexicographic_semantics - L01 [hypernyms - animals]
allosaurus dinosaur/reptile/bird/archosaur/archosaurian/archosaurian_reptile/
anaconda snake/reptile/boa/serpent/ophidian
ant insect/invertebrate/creature/beast/hymenopteran/being/animal/organism/fauna/arthropod/hymenopterous_insect/animate_being/physical_hymenopteron/physical_entity/hymenopter/living_thing
beaver rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/
bee insect/invertebrate/creature/beast/hymenopteran/being/animal/insect/organism/fauna/arthropod/hymenopterous_insect/animate_being/hymenopteron/hymenopter/living_thing
beetle insect/invertebrate/creature/beast/being/animal/insect/organism/fauna/arthropod/animate_being/living_thing
buffalo bovid/mammal/bison/cow/vertebrate/creature/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/ruminant/chordate/eutherian/mammalian/bovine/animate_being/eutherian_mammal/placental_mammal/craniate/physical_hoofed_mammal/physical_entity/even-toed_ungulate/artiodactyl_mammal/living_thing
butterfly insect/creature/beast/lepidopteran/animal/organism/fauna/arthropod/lepidopterous_insect/lepidopteron/animate_being/living_thing
cat feline/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/
chicken fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/animate_being/gallinaceous_bird/craniate/gallinacean/living_thing
chimpanzee primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing
chinchilla rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/
cobra snake/reptile/elapid/elapid_snake/serpent/ophidian
cockroach insect/invertebrate/creature/beast/dictyopterous_insect/being/animal/organism/fauna/arthropod/animate_being/physical_entity/living_thing
cow bovid/mammal/cattle/vertebrate/creature/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/ruminant/chordate/eutherian/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_hoofed_mammal/physical_entity/even-toed_ungulate/artiodactyl_mammal/living_thing
coyote canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing
deer bovid/mammal/vertebrate/creature/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/ruminant/chordate/eutherian/mammalian/bovine/animate_being/eutherian_mammal/placental_mammal/craniate/physical_hoofed_mammal/physical_entity/even-toed_ungulate/artiodactyl_mammal/living_thing
dog canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing
duck fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/waterfowl/water_fowl/animate_being/anseriform_bird/craniate/living_thing
eagle raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/iving_thing/raptorial_bird/bird_of_prey/
falcon raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/
fox canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing
gibbon primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing
